RouteDataID,CountryNum,StateNum,Route,RPID,Year,AOU,Count10,Count20,Count30,Count40,Count50,StopTotal,SpeciesTotal
6199150,124,93,006,101,1986,00070,1   ,1   ,0   ,0   ,0   ,2 ,2   
6199150,124,93,006,101,1986,00710,0   ,1   ,0   ,0   ,0   ,1 ,1   
6199150,124,93,006,101,1986,01720,0   ,2   ,0   ,0   ,0   ,1 ,2   
6199150,124,93,006,101,1986,02300,0   ,3   ,2   ,0   ,0   ,5 ,5   
6199150,124,93,006,101,1986,04590,1   ,1   ,1   ,0   ,0   ,3 ,3   
6199150,124,93,006,101,1986,04661,1   ,5   ,5   ,0   ,0   ,9 ,11  
6199150,124,93,006,101,1986,04680,0   ,1   ,0   ,1   ,0   ,2 ,2   
6199150,124,93,006,101,1986,04840,4   ,4   ,1   ,0   ,1   ,9 ,10  
6199150,124,93,006,101,1986,04860,0   ,1   ,1   ,0   ,1   ,3 ,3   
6199150,124,93,006,101,1986,05170,0   ,0   ,2   ,0   ,2   ,3 ,4   
6199150,124,93,006,101,1986,05330,0   ,0   ,0   ,0   ,1   ,1 ,1   
6199150,124,93,006,101,1986,05600,0   ,0   ,0   ,3   ,0   ,2 ,3   
6199150,124,93,006,101,1986,05670,2   ,5   ,3   ,8   ,5   ,17,23  
6199150,124,93,006,101,1986,05830,0   ,0   ,1   ,0   ,0   ,1 ,1   
6199150,124,93,006,101,1986,06460,0   ,2   ,1   ,0   ,0   ,3 ,3   
6199150,124,93,006,101,1986,06550,5   ,4   ,2   ,6   ,7   ,19,24  
6199150,124,93,006,101,1986,06610,0   ,1   ,1   ,2   ,0   ,4 ,4   
6199150,124,93,006,101,1986,06750,0   ,5   ,4   ,2   ,1   ,11,12  
6199150,124,93,006,101,1986,06850,0   ,0   ,1   ,1   ,0   ,2 ,2   
6199150,124,93,006,101,1986,07400,0   ,1   ,0   ,1   ,0   ,2 ,2   
6199150,124,93,006,101,1986,07490,8   ,3   ,9   ,6   ,5   ,26,31  
6199150,124,93,006,101,1986,07580,22  ,21  ,11  ,18  ,3   ,39,75  
6199150,124,93,006,101,1986,07610,4   ,1   ,0   ,0   ,0   ,4 ,5   
6240441,124,93,006,101,2000,00070,1   ,0   ,1   ,0   ,0   ,2 ,2   
6240441,124,93,006,101,2000,00510,0   ,1   ,0   ,0   ,0   ,1 ,1   
6240441,124,93,006,101,2000,02300,0   ,3   ,0   ,0   ,1   ,3 ,4   
6240441,124,93,006,101,2000,02550,0   ,1   ,0   ,0   ,0   ,1 ,1   
6240441,124,93,006,101,2000,03900,0   ,1   ,1   ,0   ,0   ,2 ,2   
6240441,124,93,006,101,2000,03930,0   ,0   ,0   ,0   ,1   ,1 ,1   
6240441,124,93,006,101,2000,04020,0   ,1   ,0   ,0   ,0   ,1 ,1   
6240441,124,93,006,101,2000,04120,0   ,0   ,0   ,0   ,1   ,1 ,1   
6240441,124,93,006,101,2000,04200,1   ,0   ,0   ,0   ,0   ,1 ,1   
6240441,124,93,006,101,2000,04590,2   ,4   ,1   ,2   ,0   ,9 ,9   
6240441,124,93,006,101,2000,04661,13  ,3   ,11  ,3   ,1   ,18,31  
6240441,124,93,006,101,2000,04670,5   ,2   ,0   ,0   ,0   ,6 ,7   
6240441,124,93,006,101,2000,04840,1   ,3   ,4   ,0   ,3   ,11,11  
6240441,124,93,006,101,2000,04860,0   ,0   ,3   ,0   ,0   ,2 ,3   
6240441,124,93,006,101,2000,05150,1   ,0   ,0   ,0   ,0   ,1 ,1   
6240441,124,93,006,101,2000,05170,1   ,1   ,1   ,1   ,0   ,4 ,4   
6240441,124,93,006,101,2000,05220,0   ,3   ,14  ,33  ,0   ,14,50  
6240441,124,93,006,101,2000,05280,1   ,0   ,2   ,0   ,0   ,3 ,3   
6240441,124,93,006,101,2000,05580,5   ,0   ,1   ,0   ,0   ,4 ,6   
6240441,124,93,006,101,2000,05600,3   ,5   ,2   ,7   ,5   ,18,22  
6240441,124,93,006,101,2000,05670,7   ,5   ,6   ,1   ,4   ,19,23  
6240441,124,93,006,101,2000,05830,0   ,0   ,1   ,0   ,0   ,1 ,1   
6240441,124,93,006,101,2000,05850,1   ,2   ,0   ,0   ,0   ,3 ,3   
6240441,124,93,006,101,2000,05950,0   ,0   ,0   ,1   ,1   ,2 ,2   
6240441,124,93,006,101,2000,06140,3   ,3   ,0   ,0   ,0   ,5 ,6   
6240441,124,93,006,101,2000,06180,0   ,1   ,1   ,0   ,1   ,3 ,3   
6240441,124,93,006,101,2000,06270,1   ,0   ,0   ,1   ,1   ,3 ,3   
6240441,124,93,006,101,2000,06460,6   ,1   ,0   ,3   ,0   ,8 ,10  
6240441,124,93,006,101,2000,06470,0   ,1   ,3   ,0   ,0   ,4 ,4   
6240441,124,93,006,101,2000,06550,4   ,9   ,12  ,11  ,15  ,36,51  
6240441,124,93,006,101,2000,06570,1   ,0   ,0   ,0   ,0   ,1 ,1   
6240441,124,93,006,101,2000,06610,2   ,2   ,2   ,0   ,0   ,6 ,6   
6240441,124,93,006,101,2000,06750,0   ,8   ,5   ,1   ,2   ,11,16  
6240441,124,93,006,101,2000,06810,0   ,2   ,1   ,0   ,0   ,3 ,3   
6240441,124,93,006,101,2000,07280,0   ,0   ,1   ,0   ,0   ,1 ,1   
6240441,124,93,006,101,2000,07400,0   ,0   ,1   ,6   ,2   ,5 ,9   
6240441,124,93,006,101,2000,07490,4   ,6   ,6   ,9   ,11  ,33,36  
6240441,124,93,006,101,2000,07580,10  ,11  ,12  ,14  ,4   ,34,51  
6240441,124,93,006,101,2000,07590,5   ,0   ,0   ,0   ,0   ,4 ,5   
6240441,124,93,006,101,2000,07610,1   ,3   ,3   ,1   ,1   ,9 ,9   
6240441,124,93,006,101,2000,07630,1   ,0   ,2   ,0   ,0   ,3 ,3   
6240876,124,93,006,101,2001,00070,0   ,2   ,1   ,0   ,0   ,2 ,3   
6240876,124,93,006,101,2001,02300,0   ,2   ,0   ,0   ,0   ,2 ,2   
6240876,124,93,006,101,2001,02550,0   ,1   ,0   ,1   ,0   ,2 ,2   
6240876,124,93,006,101,2001,04020,0   ,0   ,1   ,0   ,0   ,1 ,1   
6240876,124,93,006,101,2001,04120,0   ,0   ,0   ,1   ,0   ,1 ,1   
6240876,124,93,006,101,2001,04590,2   ,4   ,0   ,0   ,0   ,6 ,6   
6240876,124,93,006,101,2001,04661,12  ,4   ,7   ,1   ,2   ,18,26  
6240876,124,93,006,101,2001,04670,2   ,4   ,1   ,0   ,0   ,7 ,7   
6240876,124,93,006,101,2001,04840,0   ,2   ,1   ,8   ,1   ,7 ,12  
6240876,124,93,006,101,2001,04860,0   ,0   ,0   ,1   ,0   ,1 ,1   
6240876,124,93,006,101,2001,05150,0   ,0   ,0   ,0   ,1   ,1 ,1   
6240876,124,93,006,101,2001,05170,0   ,2   ,2   ,0   ,0   ,3 ,4   
6240876,124,93,006,101,2001,05220,0   ,1   ,0   ,0   ,0   ,1 ,1   
6240876,124,93,006,101,2001,05280,0   ,1   ,0   ,0   ,0   ,1 ,1   
6240876,124,93,006,101,2001,05330,0   ,0   ,2   ,0   ,1   ,3 ,3   
6240876,124,93,006,101,2001,05580,8   ,1   ,0   ,0   ,0   ,6 ,9   
6240876,124,93,006,101,2001,05600,5   ,2   ,2   ,4   ,1   ,14,14  
6240876,124,93,006,101,2001,05670,12  ,6   ,7   ,7   ,4   ,27,36  
6240876,124,93,006,101,2001,05830,0   ,3   ,1   ,0   ,0   ,4 ,4   
6240876,124,93,006,101,2001,05850,3   ,1   ,0   ,0   ,0   ,4 ,4   
6240876,124,93,006,101,2001,06140,7   ,5   ,0   ,0   ,2   ,11,14  
6240876,124,93,006,101,2001,06270,1   ,0   ,1   ,2   ,1   ,5 ,5   
6240876,124,93,006,101,2001,06460,1   ,0   ,0   ,0   ,0   ,1 ,1   
6240876,124,93,006,101,2001,06470,1   ,5   ,3   ,1   ,0   ,10,10  
6240876,124,93,006,101,2001,06550,4   ,5   ,5   ,11  ,5   ,26,30  
6240876,124,93,006,101,2001,06610,0   ,0   ,1   ,1   ,0   ,2 ,2   
6240876,124,93,006,101,2001,06750,0   ,5   ,3   ,1   ,2   ,10,11  
6240876,124,93,006,101,2001,06810,0   ,2   ,0   ,0   ,0   ,2 ,2   
6240876,124,93,006,101,2001,06850,0   ,2   ,2   ,0   ,0   ,4 ,4   
6240876,124,93,006,101,2001,07280,0   ,0   ,0   ,1   ,0   ,1 ,1   
6240876,124,93,006,101,2001,07400,0   ,1   ,1   ,2   ,0   ,4 ,4   
6240876,124,93,006,101,2001,07490,3   ,5   ,11  ,9   ,8   ,31,36  
6240876,124,93,006,101,2001,07580,10  ,11  ,5   ,8   ,3   ,26,37  
6240876,124,93,006,101,2001,07590,3   ,0   ,0   ,0   ,0   ,3 ,3   
6240876,124,93,006,101,2001,07610,1   ,1   ,2   ,4   ,0   ,7 ,8   
6240876,124,93,006,101,2001,07630,0   ,2   ,0   ,1   ,0   ,3 ,3   
6246881,124,93,006,101,2002,00710,0   ,1   ,0   ,0   ,0   ,1 ,1   
6246881,124,93,006,101,2002,01720,0   ,0   ,0   ,2   ,0   ,1 ,2   
6246881,124,93,006,101,2002,02140,1   ,0   ,0   ,0   ,0   ,1 ,1   
6246881,124,93,006,101,2002,02300,0   ,0   ,0   ,1   ,0   ,1 ,1   
6246881,124,93,006,101,2002,02550,0   ,2   ,3   ,0   ,0   ,4 ,5   
6246881,124,93,006,101,2002,04020,0   ,0   ,0   ,1   ,0   ,1 ,1   
6246881,124,93,006,101,2002,04570,0   ,0   ,0   ,0   ,1   ,1 ,1   
6246881,124,93,006,101,2002,04590,2   ,1   ,0   ,0   ,0   ,3 ,3   
6246881,124,93,006,101,2002,04661,9   ,6   ,6   ,2   ,1   ,15,24  
